obounri,0.42,august/2019,Khouribga
chael-ha,0.42,august/2019,Khouribga
khafni,0.41,april/2019,Benguerir
framdani,0.41,july/2019,Benguerir
omimouni,0.41,july/2019,Benguerir
kdrissi-,0.41,august/2019,Benguerir
nel-achk,0.41,february/2019,Khouribga
alaafia,0.41,august/2019,Khouribga
asfaihi,0.41,august/2019,Khouribga
hael-bri,0.41,august/2019,Khouribga
schancho,0.4,april/2019,Benguerir
otaouil,0.4,july/2019,Benguerir
oel-yous,0.4,august/2019,Benguerir
sel-fcht,0.4,august/2019,Benguerir
mahmidi,0.4,july/2018,Khouribga
abbelhac,0.4,august/2019,Khouribga
mkchikec,0.4,august/2019,Khouribga
fel-boua,0.4,august/2019,Khouribga
raourghi,0.4,august/2019,Khouribga
helfarre,0.39,july/2019,Benguerir
houbeid,0.39,july/2019,Benguerir
afall,0.39,july/2019,Benguerir
hgrissen,0.39,july/2019,Benguerir
mbifenzi,0.39,july/2019,Benguerir
asenhaji,0.39,july/2019,Benguerir
rlahmaid,0.39,august/2019,Benguerir
nabboudi,0.39,august/2019,Benguerir
mazoukni,0.39,august/2019,Benguerir
amaaiza,0.39,august/2019,Benguerir
mamali,0.39,august/2019,Benguerir
sbouraq,0.39,august/2019,Khouribga
kabourad,0.39,august/2019,Khouribga
melaouad,0.39,august/2019,Khouribga
abettach,0.39,august/2019,Khouribga
imannouc,0.39,august/2019,Khouribga
hchandad,0.38,april/2019,Benguerir
mouassit,0.38,july/2019,Benguerir
mokellat,0.38,july/2019,Benguerir
mgrissen,0.38,july/2019,Benguerir
yoerraji,0.38,july/2019,Benguerir
sbentouy,0.38,july/2019,Benguerir
aaqari,0.38,july/2019,Benguerir
ael-ahla,0.38,july/2019,Benguerir
aelkhalo,0.38,july/2019,Benguerir
mhalli,0.38,july/2019,Benguerir
abadidi,0.38,august/2019,Benguerir
rel-bour,0.38,august/2019,Benguerir
murachid,0.38,august/2019,Benguerir
melghoud,0.38,august/2019,Benguerir
eel-orch,0.38,august/2019,Benguerir
mhaddi,0.32,july/2019,Benguerir
yarouini,0.32,august/2019,Khouribga
aaboukha,0.31,july/2019,Benguerir
ael-hach,0.3,july/2019,Benguerir
mrachidi,0.3,july/2019,Benguerir
oidrissi,0.3,july/2019,Benguerir
ntantaou,0.3,august/2019,Benguerir
atabout,0.3,august/2019,Benguerir
ybichri,0.3,august/2019,Khouribga
mel-haih,0.28,july/2019,Benguerir
ayafdel,0.28,july/2019,Benguerir
ztelmoud,0.28,august/2019,Benguerir
ael-mezz,0.28,august/2019,Benguerir
abelarif,0.28,august/2019,Benguerir
agourrag,0.21,july/2018,Khouribga
tjmari,0.2,july/2019,Benguerir
obarbach,0.19,july/2019,Benguerir
achancho,0.19,august/2019,Benguerir
ametkal,0.11,april/2019,Benguerir
ael-madi,0.11,april/2019,Benguerir
hlachqar,0.11,august/2019,Benguerir
aougdal,0.1,february/2019,Khouribga
ybouhadi,0.09,april/2019,Benguerir
aarraji,0.09,april/2019,Benguerir
amaghrao,0.09,july/2019,Benguerir
ytaif,0.09,july/2019,Benguerir
idahhane,0.09,july/2019,Benguerir
mnajb,0.0,april/2019,Benguerir
mait-had,0.0,april/2019,Benguerir
alachgar,0.0,april/2019,Benguerir
eelgarni,0.0,july/2019,Benguerir
ktabit,0.0,july/2019,Benguerir
sboutsmo,0.0,july/2019,Benguerir
ahadiri,0.0,august/2019,Benguerir
wessaiyd,0.0,august/2019,Benguerir
ael-anha,0.0,august/2019,Khouribga
rfisssef,0.0,august/2018,Khouribga
abahmad,0.0,august/2018,Khouribga
